type,name,testcase_CWE,SUCCESS,detectable_by_CodeQL,15,22,23,36,73,78,79,80,81,83,88,89,90,111,113,114,129,134,190,191,193,197,209,226,248,252,253,256,259,315,319,321,325,327,328,329,335,336,337,338,369,378,379,382,383,390,395,396,397,398,400,404,459,470,476,477,478,481,482,483,484,486,491,497,499,500,502,506,510,511,523,526,533,534,535,539,546,549,564,566,568,572,579,580,581,582,584,585,586,597,598,600,601,605,606,607,609,613,614,615,617,643,667,674,681,690,698,759,760,764,765,772,775,789,832,833,835,1204
testcase,CWE23_Relative_Path_Traversal__URLConnection_05_good,CWE23,,X,,,,,,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testcase,CWE23_Relative_Path_Traversal__URLConnection_10_good,CWE23,,X,,,,,,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testcase,CWE23_Relative_Path_Traversal__URLConnection_15_good,CWE23,,X,,,,,,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testcase,CWE23_Relative_Path_Traversal__connect_tcp_10_good,CWE23,,X,,,,,,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testcase,CWE23_Relative_Path_Traversal__connect_tcp_61_good,CWE23,,X,,,,,,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testcase,CWE23_Relative_Path_Traversal__console_readLine_06_good,CWE23,,X,,,,,,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testcase,CWE23_Relative_Path_Traversal__getCookies_Servlet_42_good,CWE23,,X,,,,,,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testcase,CWE23_Relative_Path_Traversal__getCookies_Servlet_51_good,CWE23,,X,,,,,,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testcase,CWE23_Relative_Path_Traversal__getParameter_Servlet_42_good,CWE23,,X,,,,,,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testcase,CWE36_Absolute_Path_Traversal__PropertiesFile_07_bad,CWE36,FAIL,X,,,,FN,,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testcase,CWE36_Absolute_Path_Traversal__Property_67_bad,CWE36,FAIL,X,,,,FN,,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testcase,CWE36_Absolute_Path_Traversal__Property_74_bad,CWE36,FAIL,X,,,,FN,,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testcase,CWE36_Absolute_Path_Traversal__URLConnection_51_bad,CWE36,SUCCESS,X,,FP,FP,TP,FP,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testcase,CWE36_Absolute_Path_Traversal__connect_tcp_71_bad,CWE36,SUCCESS,X,,FP,FP,TP,FP,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testcase,CWE36_Absolute_Path_Traversal__console_readLine_03_bad,CWE36,FAIL,X,,,,FN,,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testcase,CWE36_Absolute_Path_Traversal__console_readLine_17_bad,CWE36,FAIL,X,,,,FN,,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testcase,CWE36_Absolute_Path_Traversal__database_81_bad,CWE36,FAIL,X,,,,FN,,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testcase,CWE36_Absolute_Path_Traversal__getParameter_Servlet_08_bad,CWE36,SUCCESS,X,,FP,FP,TP,FP,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testcase,CWE36_Absolute_Path_Traversal__getQueryString_Servlet_01_bad,CWE36,SUCCESS,X,,FP,FP,TP,FP,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testcase,CWE36_Absolute_Path_Traversal__PropertiesFile_07_good,CWE36,,X,,,,,,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testcase,CWE36_Absolute_Path_Traversal__Property_67_good,CWE36,,X,,,,,,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testcase,CWE36_Absolute_Path_Traversal__Property_74_good,CWE36,,X,,,,,,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testcase,CWE36_Absolute_Path_Traversal__URLConnection_51_good,CWE36,,X,,,,,,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testcase,CWE36_Absolute_Path_Traversal__connect_tcp_71_good,CWE36,,X,,,,,,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testcase,CWE36_Absolute_Path_Traversal__console_readLine_03_good,CWE36,,X,,,,,,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testcase,CWE36_Absolute_Path_Traversal__console_readLine_17_good,CWE36,,X,,,,,,,,,,,,,,,,,,,,,,,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
